公司名称,证券代码,市场,子行业,覆盖级别,现价(元),总市值(亿元·本币),市值折CNY(亿元),PE(TTM),PB,年初至今涨跌(%),核心逻辑,数据日期,周涨跌(%)
海底捞,6862.HK,港股,餐饮,重点跟踪,11.38,634.32,583.57,13.58,5.64,-15.17,火锅龙头，单店模型优秀；2026餐饮复苏+多品牌/加盟扩张，高分红；供给侧调改受益,2026-09-08T00:00:00Z,
百胜中国,9987.HK,港股,餐饮,重点跟踪,341.8,1167.58,1074.17,15.27,2.78,-5.58,肯德基/必胜客中国，万店规模+下沉+数字化；稳健增长高分红，餐饮复苏核心受益,2026-09-08T00:00:00Z,
九毛九,9922.HK,港股,餐饮,一般跟踪,1.11,14.91,13.72,17.67,0.42,-36.85,太二酸菜鱼/怂火锅，单店承压但估值极低（PB0.42）；供给侧出清后弹性标的，跟踪翻台与开店,2026-09-08T00:00:00Z,
蜜雪集团,2097.HK,港股,茶饮,重点跟踪,203,770.63,708.98,12.19,2.5,-50.47,全球万店平价茶饮，供应链壁垒+出海加速；即饮产品拓宽第二曲线；高基数下增速回落致估值大幅回调,2026-09-08T00:00:00Z,
古茗,1364.HK,港股,茶饮,一般跟踪,24.72,578.18,531.93,16.44,7.97,0.91,加盟茶饮龙头，门店模型与冷链供应链稳健；跟踪开店、同店与单店盈利,2026-09-08T00:00:00Z,
中公教育,002607.SZ,A股,教育,一般跟踪,2.13,131.37,131.37,217.74,15.82,-22.27,公考培训龙头，行业景气高但公司收入仍下滑、报表修复中；等待退费与经营拐点,2026-09-08T00:00:00Z,
华图山鼎,300492.SZ,A股,教育,重点跟踪,24.57,67.64,67.64,112.25,33.02,-53.6,华图教育上市主体，公考报名首超考研+竞争加剧驱动高景气，净利大幅增长α显著；前期高基数致估值回落,2026-09-08T00:00:00Z,
行动教育,605098.SH,A股,教育,一般跟踪,55.3,65.95,65.95,18.31,7.32,37.73,企业管理培训龙头，业绩稳定+高分红（70%-80%）符合红利风格；企业家培训需求刚性,2026-09-08T00:00:00Z,
中国东方教育,0667.HK,港股,教育,重点跟踪,4.14,91.84,84.49,9.87,1.32,-33.45,职业教育龙头（新东方烹饪等），政策支持+就业导向需求稳；股息率7%+，估值低,2026-09-08T00:00:00Z,
老凤祥,600612.SH,A股,黄金珠宝,重点跟踪,34.71,147.54,147.54,14.52,1.37,-18.9,黄金珠宝老牌龙头，金价高位下悦己消费延续；26Q1毛利率提升、利润改善，估值处历史低位,2026-09-08T00:00:00Z,
潮宏基,002345.SZ,A股,黄金珠宝,核心推荐,9.58,85.12,85.12,14.48,2.19,-20.53,悦己黄金转型先锋，花丝/臻金新品+春节前开店加速；国金预测25-27年归母4.9/6.5/7.7亿元（PE 25/19/16x）,2026-09-08T00:00:00Z,
周大生,002867.SZ,A股,黄金珠宝,一般跟踪,10.78,117.01,117.01,12.2,1.88,-6.73,加盟体系黄金首饰，股息率8%+；金价波动下品牌业绩分化，跟踪同店与开店,2026-09-08T00:00:00Z,
老铺黄金,6181.HK,港股,黄金珠宝,核心推荐,393.6,695.67,640.02,8.8,4.57,-34.81,古法黄金高奢品牌，同店高增持续+开店渗透空间大；一口价质价比+高客运营，毛利率领先,2026-09-08T00:00:00Z,
豫园股份,600655.SH,A股,黄金珠宝,一般跟踪,4.66,181.33,181.33,-3.78,0.61,-9.16,老庙黄金+豫园商圈综合体，品牌出海贡献增量；账面PB极低，报表仍在修复中,2026-09-08T00:00:00Z,
安克创新,300866.SZ,A股,跨境电商与出海,核心推荐,127.89,742.55,742.55,24.42,4.74,13.35,出海品牌标杆→全球创新平台，储能+新品类高毛利放量；Q2收入+25-30%、规模利润+40-50%,2026-09-08T00:00:00Z,
小商品城,600415.SH,A股,跨境电商与出海,重点跟踪,12.76,699.7,699.7,15.58,3.17,-16.31,全球小商品贸易龙头平台，AI商业化落地+进口改革再造增长极；Chinagoods数字化交易,2026-09-08T00:00:00Z,
赛维时代,301381.SZ,A股,跨境电商与出海,一般跟踪,22.9,93.09,93.09,33.3,3.25,12.7,品牌出海精品卖家（服饰等），26Q2收入修复至15%+；补库+品类拓展，利润弹性待释放,2026-09-08T00:00:00Z,
永辉超市,601933.SH,A股,商超与线下零售,重点跟踪,3.36,299.88,299.88,-14.57,13.83,-28.35,胖东来式调改先锋，精选零售+裸价采购变革商业模式；26Q1收入转正、利润修复快于收入,2026-09-08T00:00:00Z,
重百集团,600729.SH,A股,商超与线下零售,一般跟踪,19.98,88,88,12.26,1.11,-19.62,重庆区域零售龙头（百货+超市），多措并举见效、股息率4.8%；区域消费与调改支撑,2026-09-08T00:00:00Z,
步步高,002251.SZ,A股,商超与线下零售,一般跟踪,4.06,109.16,109.16,197.09,1.28,-23.54,转型精选型零售、湖南区域龙头，调改+供应链重构带来盈利弹性与价值重估,2026-09-08T00:00:00Z,
科锐国际,300662.SZ,A股,人服,一般跟踪,22.55,44.38,44.38,13.11,1.85,-9.93,灵活用工+中高端猎头龙头，招聘需求筑底企稳；关注企业招聘回暖与灵工渗透率提升,2026-09-08T00:00:00Z,
北京人力,600861.SH,A股,人服,一般跟踪,13.13,74.33,74.33,9.69,1.04,-22.85,国企人力资源外包龙头（外企德科），业务外包驱动收入，估值低+股息7.9%，稳就业政策受益,2026-09-08T00:00:00Z,
